inter,comm
21382,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
21020,0
10291,0
10291,0
10291,0
10291,0
10291,0
10291,0
10291,0
10291,0
10291,0
10291,0
10433,0
10433,0
10433,0
10433,0
10433,0
10433,0
10433,0
10419,0
10419,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
45391,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
46183,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
45186,0
3761,0
3761,0
3852,0
3852,0
3995,0
3995,0
3995,0
3995,0
3995,0
3995,0
3995,0
3995,0
3995,0
3995,0
3995,0
36154,0
36154,0
36154,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
953,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3711,0
3805,0
3805,0
3805,0
3805,0
3805,0
3805,0
3910,0
3910,0
3910,0
3910,0
3910,0
3910,0
3910,0
3910,0
3910,0
3910,0
3910,0
3238,0
3238,0
3238,0
3238,0
3238,0
3493,0
3493,0
3493,0
3493,0
3493,0
3770,0
3696,0
3696,0
3696,0
3696,0
3696,0
3696,0
3696,0
3696,0
3696,0
3696,0
3682,0
3682,0
3682,0
3682,0
3682,0
3682,0
3682,0
3687,0
3687,0
3687,0
3687,0
3687,0
3687,0
3687,0
8800,0
8800,0
8800,0
8800,0
8800,0
8800,0
8800,0
8800,0
8800,0
8800,0
6277,0
6277,0
6277,0
6277,0
6277,0
6277,0
6277,0
6277,0
6277,0
6277,0
25886,0
25886,0
25886,0
44233,0
44233,0
44233,0
44233,0
44233,0
44233,0
43914,0
43914,0
43914,0
43914,0
43914,0
43914,0
43914,0
43914,0
43914,0
43914,0
43914,0
43997,0
43997,0
44121,0
44121,0
44121,0
44121,0
12814,0
12751,0
35251,0
35251,0
28390,0
28151,0
28151,0
28151,0
28151,0
28151,0
9567,0
9567,0
9567,0
9567,0
9567,0
22028,0
22028,0
22028,0
7331,0
7331,0
7331,0
28436,0
28436,0
28436,0
25381,0
25381,0
25381,0
26742,0
26742,0
43654,0
20825,0
20825,0
20825,0
20825,0
20825,0
25890,0
25890,0
25890,0
25890,0
25890,0
4023,0
26161,0
26161,0
26161,0
26161,0
26161,0
41622,0
41622,0
41622,0
41622,0
41622,0
41622,0
41622,0
41622,0
16200,0
15758,0
15758,0
26501,0
26501,0
26501,0
26501,0
26501,0
26501,0
26501,0
4217,0
4217,0
4217,0
4217,0
4217,0
4217,0
4217,0
4217,0
4217,0
16708,0
16708,0
16708,0
34029,0
34029,0
34029,0
34029,0
34029,0
34029,0
34029,0
26620,0
26620,0
26620,0
26620,0
26620,0
26620,0
26620,0
26620,0
26620,0
26620,0
26620,0
26620,0
26552,0
26552,0
26552,0
26552,0
26552,0
43687,0
43687,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
43721,0
43721,0
43721,0
19177,0
19177,0
19177,0
23105,0
23105,0
23105,0
23105,0
23105,0
23105,0
2134,0
2134,0
2134,0
33611,0
44473,0
44473,0
44473,0
44417,0
44417,0
44417,0
44417,0
44417,0
44417,0
44417,0
44417,0
44417,0
44417,0
44417,0
